player,pos,team,adp_pos_rank,underdog_adp,prev_adp,adp_delta,source_url
Bijan Robinson,RB,Atlanta Falcons,RB1,1.5,1.4,-0.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jahmyr Gibbs,RB,Detroit Lions,RB2,1.6,1.7,0.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Ja'Marr Chase,WR,Cincinnati Bengals,WR1,3.1,3.3,0.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Puka Nacua,WR,Los Angeles Rams,WR2,4.1,4.1,0,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jaxon Smith-Njigba,WR,Seattle Seahawks,WR3,5.1,5.1,0,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jonathan Taylor,RB,Indianapolis Colts,RB3,6.8,6.4,-0.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Christian McCaffrey,RB,San Francisco 49ers,RB4,7.2,7.2,0,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
CeeDee Lamb,WR,Dallas Cowboys,WR4,8.7,8.7,0,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Amon-Ra St. Brown,WR,Detroit Lions,WR5,8.7,8.9,0.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Justin Jefferson,WR,Minnesota Vikings,WR6,9.6,10,0.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
James Cook,RB,Buffalo Bills,RB5,11.3,11.1,-0.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Ashton Jeanty,RB,Las Vegas Raiders,RB6,11.6,11.7,0.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
De'Von Achane,RB,Miami Dolphins,RB7,13.8,13.9,0.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Saquon Barkley,RB,Philadelphia Eagles,RB8,14.3,15.2,0.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Kenneth Walker III,RB,Kansas City Chiefs,RB9,15.6,16.3,0.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Omarion Hampton,RB,Los Angeles Chargers,RB10,16.7,16,-0.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
